,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,stats_sum_diff,First_win,First_pokemon_Legendary,Second_pokemon_Legendary,Relation
42,-25,-43,-2,-55,-15,-50,-190,1,0,0,2.0
43,-34,-11,-53,-41,-71,-20,-230,0,0,0,0.5
44,4,-10,-10,5,-20,-29,-60,0,0,0,1.0
45,-35,6,-26,-31,-14,40,-60,1,0,0,1.0
46,-6,14,11,-9,34,-26,18,0,0,0,2.0
47,-20,64,85,30,60,36,255,1,0,0,1.0
48,-110,-55,170,-100,135,-60,-20,0,0,0,2.0
49,-31,-10,-40,-67,-30,-68,-246,0,0,0,1.0
50,-15,-33,81,-28,33,-53,-15,0,0,0,1.0
51,46,40,50,4,50,70,260,0,1,0,2.0
52,-1,78,68,1,1,61,208,1,1,0,1.0
53,2,-40,-33,35,5,27,-4,1,0,0,2.0
54,-30,25,-10,-60,-40,-20,-135,0,0,0,2.0
55,-12,-36,-27,-20,-25,-6,-126,0,0,0,0.5
56,20,5,-37,-35,-37,-16,-100,0,0,0,1.0
57,-21,-95,-10,-13,-20,-38,-197,0,0,0,1.0
58,7,18,-43,-14,25,17,10,1,0,0,2.0
59,-21,-10,-3,3,-12,23,-20,1,0,0,4.0
60,-3,-52,2,-12,72,2,9,1,0,0,1.0
61,-13,29,-15,39,-40,5,5,1,0,0,1.0
62,49,79,30,7,20,7,192,1,0,0,1.0
63,-21,-2,12,-30,-6,27,-20,1,0,0,0.125
64,-32,20,-15,-25,-15,16,-51,1,0,0,1.0
65,7,-27,-31,38,35,53,75,1,0,0,1.0
66,50,100,55,75,30,45,355,1,0,0,1.0
67,-15,-30,5,-5,-30,15,-60,1,0,0,1.0
68,-11,-47,10,11,10,-28,-55,0,0,1,1.0
69,-9,-70,-16,15,-73,-21,-174,0,0,0,2.0
70,-58,-74,152,-99,145,-95,-29,0,0,0,1.0
71,-9,-16,-23,54,19,70,95,1,0,0,1.0
72,-26,-10,16,-86,11,-80,-175,0,0,0,0.25
73,-11,13,-45,13,-45,-7,-82,0,0,0,1.0
74,44,68,23,35,15,10,195,1,1,0,2.0
75,-90,30,34,5,34,10,23,1,0,0,2.0
76,-50,-15,-10,-25,-35,-40,-175,0,0,0,0.5
77,-5,25,-53,3,-50,35,-45,1,1,0,2.0
78,-54,-26,12,-1,12,37,-20,1,0,0,1.0
79,25,45,10,-50,-30,-10,-10,0,0,1,1.0
80,0,-50,-13,-65,-3,-85,-216,0,0,0,0.25
81,0,-17,15,1,-5,-22,-28,0,0,0,0.25
82,20,7,12,48,8,-10,85,0,0,0,1.0
83,-5,-35,-57,-40,-57,-41,-235,0,0,0,1.0
84,-50,-52,-32,-35,-15,-21,-205,0,0,0,0.5
85,8,-21,-67,-5,-50,60,-75,0,0,0,1.0
86,-25,-27,-35,-78,-10,-5,-180,0,0,1,4.0
87,-30,-78,-13,-38,57,-51,-153,0,0,0,0.5
88,105,20,-35,55,-35,45,155,1,1,0,2.0
89,-3,-41,16,24,36,-32,0,0,0,0,0.5
90,-50,20,-40,-20,-90,-5,-185,0,0,0,0.5
91,-16,-50,-10,-18,2,-5,-97,0,0,0,2.0
92,-8,-11,44,56,21,-66,36,0,0,0,0.5
93,8,30,12,33,24,25,132,1,0,0,1.0
94,-65,-35,-15,0,-60,-50,-225,0,0,1,1.0
95,-47,-71,-46,-14,-46,-47,-271,0,0,1,2.0
96,-25,15,25,-30,-55,-45,-115,0,0,1,1.0
97,-31,-45,-36,-12,-36,-31,-191,0,0,0,0.25
98,-10,25,-25,25,-40,15,-10,1,0,0,1.0
99,-5,10,20,57,40,83,205,1,0,0,1.0
100,-20,-23,10,-23,-20,16,-60,1,0,0,1.0
101,-12,-14,8,-14,11,-55,-76,0,0,0,1.0
102,5,-53,5,12,5,55,29,1,0,0,0.25
103,-37,-44,-33,-27,-31,-24,-196,0,0,0,2.0
104,-15,-50,-55,-25,-15,0,-160,0,0,0,1.0
105,50,65,-4,-35,11,70,157,1,0,0,0.5
106,-35,-50,-25,25,-55,40,-100,1,0,0,1.0
107,-30,-45,-10,15,-5,5,-70,1,0,0,1.0
108,-21,12,-17,-35,-10,10,-61,1,0,0,0.5
109,-24,-29,-5,36,33,-1,10,0,1,0,1.0
110,10,-14,-40,11,-35,9,-59,1,0,0,1.0
111,-17,-20,-25,5,-35,2,-90,1,0,0,1.0
112,30,10,30,-10,-5,-50,5,0,0,0,2.0
113,25,65,10,30,40,65,235,1,0,0,1.0
114,21,35,60,95,40,19,270,1,1,0,0.5
115,65,45,-11,5,55,26,185,1,0,0,0.5
116,10,-65,-3,5,-55,-42,-150,0,0,0,0.25
117,5,-43,12,-9,17,-47,-65,0,0,0,1.0
118,14,-5,155,5,15,-130,54,0,0,0,0.25
119,-20,10,0,-60,-20,-30,-120,0,0,0,2.0
120,15,23,-12,20,0,19,65,1,0,0,0.5
121,30,40,75,-15,-50,-70,10,1,0,0,1.0
122,-10,10,15,75,10,60,160,1,0,0,1.0
123,10,20,45,-65,-30,5,-15,1,0,0,1.0
124,-30,30,0,-55,0,11,-44,1,0,0,1.0
125,-56,0,20,-10,15,11,-20,1,0,0,1.0
126,-35,20,-35,-35,-35,-70,-190,0,0,0,2.0
127,-10,-60,20,30,-10,-40,-70,0,0,0,0.5
128,25,10,-15,70,50,20,160,1,0,0,0.125
129,-32,-29,3,10,10,25,-13,1,0,0,0.5
130,6,0,23,3,-5,5,32,1,0,0,1.0
131,3,44,23,60,20,5,155,1,0,0,1.0
132,-25,-20,-10,-10,-20,-70,-155,0,0,0,8.0
133,-15,-7,-63,-57,-73,40,-175,0,0,0,0.25
134,5,45,50,35,45,10,190,1,0,0,0.25
135,-36,-30,-20,-5,-79,-50,-220,0,0,1,0.5
136,25,30,10,15,0,55,135,1,0,0,2.0
137,17,-5,13,8,9,-3,39,0,0,0,0.5
138,12,80,20,-20,-50,-22,20,0,0,0,0.5
139,10,35,72,55,37,31,240,1,0,0,1.0
140,33,-7,25,-17,25,-64,-5,0,0,0,1.0
141,10,74,55,39,10,7,195,1,0,0,1.0
142,-45,0,-20,-28,0,50,-43,0,0,0,2.0
143,-5,-35,-70,-45,-15,-15,-185,0,0,0,0.5
144,-20,15,-14,52,-35,29,27,1,0,0,2.0
145,77,0,72,25,70,47,291,1,0,0,1.0
146,-75,25,-70,-35,-80,-10,-245,0,0,0,1.0
147,-23,-10,-5,-125,-105,-50,-318,0,0,0,2.0
148,-30,22,50,-5,15,25,77,1,0,0,2.0
149,-32,-69,-45,30,15,19,-82,1,0,0,0.5
150,5,20,50,85,0,-35,125,1,0,0,1.0
151,0,-35,-5,-50,-25,-65,-180,0,0,0,1.0
152,3,4,18,44,-5,-2,62,0,0,0,1.0
153,0,-5,-20,10,0,-70,-85,0,0,0,2.0
154,5,43,47,78,77,57,307,1,0,0,0.5
155,-5,40,5,40,-10,10,80,1,0,0,0.5
156,-15,-47,-13,-12,22,-3,-68,0,0,0,0.5
157,-11,-41,35,-119,-35,-84,-255,0,0,1,2.0
158,0,0,20,50,45,5,120,0,0,0,2.0
159,-26,-98,-35,-93,-65,-70,-387,0,0,0,1.0
160,21,4,-30,16,-15,9,5,1,0,0,1.0
161,45,20,-22,55,40,25,163,1,0,0,1.0
162,44,15,30,15,50,-110,44,1,0,0,1.0
163,0,-30,20,20,120,-30,100,0,1,0,0.5
164,-27,3,-23,-34,-29,29,-81,1,0,0,1.0
165,-10,-50,-20,35,-10,-30,-85,0,0,0,2.0
166,20,36,-30,-9,-20,94,91,1,0,0,1.0
167,-10,-40,-61,-42,-38,-20,-211,0,0,0,0.25
168,20,20,36,40,26,0,142,0,1,0,1.0
169,100,36,70,55,70,49,380,1,1,0,1.0
170,30,35,10,-50,10,-75,-40,0,0,0,0.5
171,7,30,13,-45,30,0,35,0,0,0,1.0
172,-35,-110,-30,-110,-30,-45,-360,0,0,1,1.0
173,12,18,-5,26,15,19,85,1,0,0,1.0
174,55,-5,-40,-90,-25,-105,-210,1,0,1,1.0
175,10,34,20,-30,15,-29,20,0,0,1,0.25
176,15,-30,-21,35,9,35,43,1,0,0,2.0
177,15,24,46,91,34,40,250,1,1,0,1.0
178,5,-70,-72,-38,-25,-44,-244,0,0,0,2.0
179,-18,9,-1,-14,51,-86,-59,0,0,0,1.0
180,-70,-50,-40,-45,0,5,-200,1,0,0,1.0
181,5,40,26,10,36,8,125,1,0,0,1.0
182,-38,-68,-28,-25,-30,-46,-235,0,0,0,2.0
183,-15,30,-15,-25,5,-5,-25,0,0,0,1.0
184,-5,19,-5,-8,-35,1,-33,1,0,0,1.0
185,28,19,-1,50,26,23,145,1,0,0,2.0
186,34,80,10,25,40,45,234,1,0,0,1.0
187,35,100,80,-5,-55,-5,150,0,0,0,2.0
188,20,40,-2,-55,-67,-66,-130,1,0,0,1.0
189,32,2,12,-4,-22,-77,-57,0,0,0,1.0
190,-9,6,32,-55,-35,-58,-119,0,0,0,2.0
191,6,-12,18,45,19,19,95,1,0,0,1.0
192,47,99,67,59,44,50,366,1,1,0,2.0
193,-85,-10,-55,-39,-59,10,-238,0,0,1,0.25
194,33,-20,-75,-30,-80,51,-121,1,0,1,0.25
195,-10,20,-5,-60,-40,-70,-165,0,0,0,1.0
196,-7,-30,5,60,55,-35,48,0,0,0,1.0
197,5,-25,5,20,10,50,65,1,1,0,0.25
198,11,-45,-90,45,26,55,2,0,0,0,1.0
199,17,69,12,-16,29,85,196,1,0,0,0.5
200,-38,-56,-35,-23,-12,-54,-218,0,0,1,1.0
201,10,-20,-13,-100,25,-27,-125,0,0,0,0.5
202,11,22,-5,-33,-10,4,-11,1,0,0,1.0
203,30,10,-20,-30,5,-35,-40,0,0,0,1.0
204,-80,-115,25,-35,-20,-70,-295,0,0,1,0.5
205,56,52,60,60,-14,7,221,1,0,0,2.0
206,25,66,35,-9,-15,-11,91,0,0,0,2.0
207,-27,-50,8,-45,20,-57,-151,0,0,0,1.0
208,-10,-50,5,25,15,-10,-25,0,0,0,0.5
209,12,-37,0,43,0,67,85,1,0,0,4.0
210,4,-45,35,-45,35,-4,-20,0,1,0,2.0
211,41,39,36,39,36,43,234,1,0,0,0.5
212,23,8,43,91,39,15,219,1,0,0,0.5
213,-15,-35,-45,-150,-75,-85,-405,0,0,0,1.0
214,36,-39,-13,6,42,-32,0,0,0,0,1.0
215,10,-10,10,55,55,35,155,1,0,0,1.0
216,10,40,45,5,15,25,140,1,0,0,0.5
217,16,55,23,30,-23,-12,89,0,0,0,0.5
218,21,111,65,5,55,40,297,0,0,0,0.5
219,20,15,-49,60,-29,18,35,1,0,0,1.0
220,-35,-35,-35,-50,-25,-75,-255,0,0,1,1.0
221,-20,-75,-57,-15,-32,-23,-222,0,0,0,0.5
222,-15,-32,-13,-4,9,10,-45,1,0,0,1.0
223,40,-13,-25,55,30,48,135,1,0,0,0.5
224,-70,-78,-30,-60,-25,25,-238,0,0,0,2.0
225,-60,12,0,-13,-35,43,-53,1,0,0,2.0
226,-20,-2,85,32,40,7,142,1,0,0,1.0
227,35,35,95,14,44,25,248,1,0,0,0.25
228,-24,51,51,41,44,19,182,1,1,0,2.0
229,-54,-28,-23,-32,-12,-1,-150,0,0,0,0.5
230,33,-45,21,30,86,30,155,1,0,0,0.5
231,5,-3,-25,72,25,5,79,1,0,0,2.0
232,-15,-70,-70,35,-15,0,-135,0,0,1,1.0
233,10,-7,-88,78,-18,75,50,1,0,0,0.5
234,-3,55,9,75,9,15,160,1,1,0,1.0
235,80,33,-7,43,-7,30,172,1,0,0,0.5
236,25,16,-10,2,0,-3,30,0,0,0,1.0
237,4,-44,-5,-7,-25,-73,-150,0,0,1,0.5
238,0,-30,5,0,-45,40,-30,1,0,0,2.0
239,5,35,20,-40,-70,-60,-110,0,0,0,1.0
240,-11,25,77,-34,33,-7,83,0,0,0,0.5
241,60,150,128,100,38,25,501,1,1,0,0.5
242,-22,-13,-25,-25,-21,-14,-120,0,0,0,1.0
243,-10,19,35,24,55,11,134,1,0,0,2.0
244,-28,0,5,80,35,8,100,1,1,0,4.0
245,34,-66,-34,38,36,-42,-34,0,0,0,1.0
246,10,10,-55,15,25,60,65,1,0,0,2.0
247,-25,5,-45,-25,50,30,-10,1,0,0,1.0
248,45,60,23,32,65,45,270,1,0,0,2.0
249,80,10,-80,60,40,40,150,1,1,0,0.5
250,-70,-130,-78,-30,-58,-35,-401,0,0,1,1.0
251,55,10,80,30,100,5,280,1,0,0,1.0
252,10,23,18,-2,18,-21,46,0,0,0,0.5
253,14,0,-20,-5,-30,36,-5,1,0,0,1.0
254,-47,-36,-74,-34,-24,4,-211,1,0,0,0.25
255,4,18,19,5,70,19,135,1,0,0,1.0
256,15,25,50,-5,65,0,150,0,0,0,0.5
257,35,60,40,-5,40,30,200,1,0,0,1.0
258,-154,17,-8,32,2,11,-100,1,0,0,1.0
259,-34,-50,-60,-134,-60,-105,-443,0,0,1,1.0
260,-66,-155,-70,-134,-80,-80,-585,0,0,1,0.5
261,56,52,25,89,25,88,335,1,0,0,0.5
262,40,0,35,60,20,-70,85,1,0,0,1.0
263,-37,-45,-11,15,-11,-45,-134,0,0,0,0.5
264,-33,-33,-18,-20,-38,15,-127,1,0,0,1.0
265,1,6,33,-51,-21,-69,-101,0,0,0,1.0
266,9,-30,-15,10,15,11,0,1,1,0,0.25
267,10,-25,42,-85,-5,-67,-130,0,0,0,4.0
268,-5,-20,-20,10,-10,0,-45,0,0,1,1.0
269,40,65,28,0,65,-8,190,0,0,0,1.0
270,35,15,15,35,45,35,180,1,0,0,0.5
271,10,5,-27,-55,-22,-46,-135,0,0,0,1.0
272,-30,-45,47,-45,-23,16,-80,1,0,1,1.0
273,-18,71,69,-7,-37,1,79,1,0,0,2.0
274,-10,-24,-17,-69,-30,-59,-209,0,0,0,0.5
275,44,22,69,3,43,14,195,1,1,0,2.0
276,30,-15,-10,-40,-35,-90,-160,0,0,1,1.0
277,-52,-25,-25,25,15,10,-52,1,0,0,2.0
278,55,119,115,75,90,51,505,1,0,0,2.0
279,37,45,15,-2,10,0,105,0,0,0,0.5
280,-15,10,-10,-55,-10,-20,-100,0,0,1,1.0
281,12,5,14,-5,-16,-45,-35,0,0,0,1.0
282,27,40,50,70,98,9,294,1,0,0,1.0
283,18,37,18,-28,13,-32,26,0,0,0,2.0
284,-20,0,-35,25,15,10,-5,1,0,0,0.5
285,61,100,15,119,55,110,460,1,1,0,2.0
286,-30,-10,50,-10,-90,0,-90,0,0,0,1.0
287,15,-25,40,-20,-5,-30,-25,0,0,0,1.0
288,10,85,180,-70,35,0,240,0,0,0,1.0
289,20,15,0,-115,-40,-40,-160,0,0,0,0.25
290,2,-33,5,-13,50,-18,-7,0,0,0,0.5
291,-35,-47,-15,60,35,-2,-4,0,0,0,1.0
292,-45,25,20,-40,-50,-40,-130,0,0,0,1.0
293,-70,-90,-20,12,-5,-28,-201,0,0,0,1.0
294,40,23,-105,0,-105,-35,-182,0,0,1,1.0
295,23,30,12,-43,29,-41,10,0,0,0,0.5
296,26,15,5,62,12,41,161,1,0,0,1.0
297,6,-10,-35,-43,-38,-44,-164,0,0,0,2.0
298,65,11,13,41,21,-3,148,0,0,0,1.0
299,35,32,40,60,62,18,247,1,0,0,0.5
300,-12,-15,35,-28,-7,5,-22,1,0,0,0.5
301,56,27,-70,99,45,38,195,1,0,0,8.0
302,15,-10,47,-87,-10,-91,-136,0,0,0,0.5
303,0,14,35,-11,25,-34,29,0,0,0,8.0
304,-80,10,10,10,-5,120,65,1,1,0,1.0
305,15,7,9,34,20,44,129,1,0,0,4.0
306,30,35,-37,-45,-37,9,-45,1,0,0,0.5
307,15,70,60,25,15,25,210,1,0,0,1.0
308,27,84,32,9,39,110,301,1,0,0,1.0
309,-28,-125,1,10,-39,-120,-301,0,0,0,1.0
310,5,-25,5,15,40,10,50,1,0,0,0.5
311,-63,23,13,-19,-7,42,-11,1,0,0,4.0
312,36,7,32,29,67,10,181,1,0,0,1.0
313,15,30,25,10,20,-90,10,1,0,0,1.0
314,-42,-25,-25,1,-41,-13,-145,0,0,0,1.0
315,30,165,55,87,45,106,488,1,1,0,0.25
316,-6,-15,-5,-51,-32,-21,-130,0,0,0,0.5
317,11,34,11,39,6,-7,94,0,0,0,1.0
318,40,42,30,25,30,12,179,1,0,0,0.25
319,0,4,-10,-63,-10,-57,-136,0,0,0,1.0
320,-32,-69,-60,-99,-80,-60,-400,0,0,1,2.0
321,0,0,27,-25,27,-14,15,0,0,0,1.0
322,15,-5,25,60,30,-15,110,0,1,0,1.0
323,4,30,-5,28,-2,-11,44,0,0,0,0.25
324,10,11,-5,-54,-25,-2,-65,0,0,0,0.5
325,6,54,-28,14,-36,45,55,1,0,0,0.5
326,35,95,80,60,20,70,360,1,0,0,2.0
327,39,70,93,5,28,-21,214,0,0,0,1.0
328,35,35,10,105,30,85,300,1,0,0,4.0
329,5,30,14,-26,-2,13,34,1,0,0,0.5
330,48,-21,9,1,29,-43,23,0,0,0,2.0
331,-15,30,51,50,46,-20,142,0,0,0,2.0
332,-45,-43,-35,-23,-45,-12,-203,0,0,0,2.0
333,-7,31,40,68,27,79,238,1,1,0,1.0
334,32,65,12,-42,-94,5,-22,1,0,0,1.0
335,5,5,12,-17,-21,-4,-20,0,0,0,1.0
336,-15,-45,0,-40,-35,60,-75,0,0,1,1.0
337,-40,53,43,53,38,81,228,1,0,0,1.0
338,-25,-15,-11,-12,-20,14,-69,1,0,0,1.0
339,0,-15,5,34,9,-5,28,0,0,0,1.0
340,-14,15,-10,45,10,34,80,1,0,0,1.0
341,10,-68,-5,-38,5,-40,-136,0,0,0,8.0
342,22,33,30,-6,-15,-44,20,0,0,0,2.0
343,66,71,35,71,38,39,320,1,1,0,1.0
344,4,-17,-3,47,15,-18,28,0,0,0,1.0
345,-19,-97,-82,-63,-28,-86,-375,0,0,0,1.0
346,-26,-95,-18,-94,-18,-55,-306,0,0,1,1.0
347,-15,3,-105,51,33,42,9,1,0,0,1.0
348,55,30,55,35,35,-25,185,0,0,0,1.0
349,22,-2,25,31,35,25,136,1,0,0,0.5
350,-10,34,45,29,10,-63,45,0,0,0,1.0
351,30,-55,-40,0,0,-5,-70,0,0,0,1.0
352,-15,25,35,-45,-5,-60,-65,0,0,0,0.5
353,-12,-23,-25,-52,-25,-32,-169,0,0,0,1.0
354,41,-34,0,52,30,-7,82,0,0,0,1.0
355,-26,-57,-32,-60,-50,-70,-295,0,0,0,0.5
356,-54,-20,-37,-88,-88,-40,-327,0,0,0,2.0
357,5,-4,5,-4,-20,-1,-19,0,0,0,0.5
358,-48,-25,68,-22,49,27,49,1,1,0,1.0
359,17,-18,-61,7,64,76,85,1,1,0,8.0
360,-5,29,5,39,-5,2,65,1,0,0,1.0
361,35,5,68,10,-35,-43,40,0,0,0,2.0
362,35,10,0,-50,35,50,80,1,0,0,0.5
363,43,56,-25,56,10,20,160,1,0,0,0.125
364,9,3,20,-25,0,-2,5,0,0,0,2.0
365,10,-26,30,14,40,-54,14,0,0,0,4.0
366,-30,-50,0,10,20,0,-50,0,0,0,0.5
367,14,44,14,34,64,-5,165,0,1,0,0.5
368,5,-50,0,-15,-25,-25,-110,0,0,0,0.5
369,-70,-76,-80,-36,-36,10,-288,1,0,0,1.0
370,-25,-20,-100,0,-30,-40,-215,0,0,0,2.0
371,-24,10,-27,2,-18,22,-35,1,0,0,1.0
372,-15,-10,-116,-30,-106,-35,-312,0,0,1,2.0
373,-19,-37,2,-50,-18,-63,-185,0,0,0,2.0
374,0,-71,-49,21,-51,-40,-190,0,0,0,0.25
375,-32,-22,-42,-35,-40,-34,-205,0,0,0,0.5
376,62,139,120,100,25,25,471,1,1,0,1.0
377,-70,-120,-80,-65,-80,-40,-455,0,0,0,0.25
378,-45,-52,-5,-97,-68,-2,-269,0,0,0,0.25
379,20,-10,0,40,35,0,85,0,1,0,1.0
380,-60,-20,0,-70,-40,-35,-225,0,0,1,0.125
381,-1,13,-11,36,54,7,98,1,0,0,0.5
382,-10,5,-10,4,10,-13,-14,0,0,0,2.0
383,-15,-10,-15,50,25,5,40,1,0,0,1.0
384,-75,-55,-26,-126,-52,-52,-386,0,0,1,0.5
385,-50,5,-5,50,40,20,60,1,0,0,1.0
386,3,20,18,-30,18,2,31,1,0,0,1.0
387,10,-3,-22,45,45,5,80,1,0,0,0.5
388,25,32,15,70,5,14,161,1,0,0,1.0
389,-40,-75,-90,-10,-20,35,-200,1,0,1,1.0
390,15,20,30,-20,-20,-65,-40,0,0,0,4.0
391,-26,-22,-36,-49,4,-48,-177,0,0,0,1.0
392,10,15,15,-10,10,-10,30,0,0,0,0.5
393,-16,53,-20,-4,-20,7,0,1,1,0,1.0
394,-5,-5,-25,-95,-30,85,-75,1,0,0,0.5
395,36,-20,10,27,15,-66,2,0,0,0,1.0
396,24,50,106,5,-5,-20,160,0,0,0,0.125
397,34,28,33,-53,27,21,90,1,0,0,1.0
398,9,17,13,-44,-1,-71,-77,1,0,0,4.0
399,12,-15,-62,46,2,-43,-60,0,0,0,0.5
400,-5,35,25,-30,-10,-30,-15,0,0,0,1.0
401,24,9,35,14,45,-8,119,0,0,0,2.0
402,1,35,0,-40,-10,35,21,1,0,0,2.0
403,15,65,92,18,-5,44,229,1,0,0,0.25
404,-40,-45,-55,40,0,25,-75,0,0,0,2.0
405,-11,-13,12,49,49,29,115,1,0,0,1.0
406,0,-79,-53,-10,-3,53,-92,0,0,0,0.5
407,11,2,25,49,-30,8,65,1,0,0,0.25
408,37,75,62,-57,-99,-35,-17,1,0,0,1.0
409,-46,-64,-12,11,16,-30,-125,0,0,0,0.5
410,-30,-65,-50,-61,-27,-62,-295,0,0,0,1.0
411,-45,-100,-100,-60,-50,-15,-370,0,0,1,1.0
412,40,-40,10,-100,-50,-60,-200,0,0,1,0.5
413,-39,60,15,-10,-20,10,16,1,0,0,2.0
414,-65,-87,-142,-14,-4,42,-270,0,0,0,2.0
415,45,-7,-6,-10,7,-42,-13,0,0,0,0.5
416,6,-16,0,36,25,94,145,1,0,0,0.5
417,-3,65,-30,-57,-48,-27,-100,0,0,0,2.0
418,-7,-18,30,9,33,-49,-2,1,0,0,8.0
419,60,90,30,0,30,35,245,1,0,0,1.0
420,66,85,50,75,119,34,429,1,1,0,1.0
421,-11,-31,-46,29,44,14,-1,1,0,0,1.0
422,0,1,-21,19,31,20,50,1,0,0,1.0
423,-25,-12,-27,13,-27,41,-37,1,0,0,0.5
424,-50,-25,-30,-65,-30,-52,-252,0,0,1,1.0
425,-46,29,-47,-50,-35,18,-131,1,0,0,0.5
426,-35,-21,9,-35,5,-100,-177,0,0,0,1.0
427,45,65,10,-45,-20,-70,-15,1,0,0,0.5
428,-15,-7,4,-60,-5,-74,-157,0,0,0,0.5
429,5,30,-5,30,-20,10,50,1,0,0,2.0
430,-24,-35,-50,-70,0,-26,-205,0,0,1,2.0
431,35,60,70,35,30,65,295,1,0,0,2.0
432,-35,-90,-29,100,-35,49,-40,1,0,0,0.5
433,30,-8,2,-5,0,-24,-5,0,0,0,2.0
434,25,10,21,85,51,35,227,1,0,0,0.25
435,20,30,-45,-5,-15,0,-15,0,0,0,1.0
436,-52,5,-45,-50,-45,5,-182,1,0,0,0.5
437,-4,-16,-30,-4,-15,34,-35,0,0,0,0.25
438,-50,-32,-134,11,4,37,-164,1,0,0,2.0
439,11,-3,17,-6,67,15,101,1,0,0,0.5
440,-15,-35,15,-90,-45,-75,-245,0,0,0,4.0
441,-25,0,70,10,15,-63,7,0,0,0,4.0
442,33,32,22,9,4,81,181,1,0,0,4.0
443,-15,-35,-65,60,30,10,-15,1,0,0,1.0
444,-20,-68,20,-18,-50,-46,-182,0,0,0,1.0
445,10,-40,20,-25,20,10,-5,1,0,0,1.0
446,3,32,-1,-24,8,11,29,1,0,0,1.0
447,15,5,-45,60,30,5,70,1,0,0,1.0
448,26,9,80,31,95,4,245,1,1,0,1.0
449,15,-10,10,50,30,5,100,1,1,0,1.0
450,-25,-15,-5,10,-35,60,-10,1,0,0,2.0
451,29,76,25,60,15,55,260,1,0,0,0.5
452,183,-52,-50,-42,50,-64,25,0,0,0,1.0
453,25,10,40,40,40,35,190,1,1,0,4.0
454,-25,25,5,35,5,26,71,1,0,0,1.0
455,-39,-45,-50,-80,-60,-36,-310,0,0,1,1.0
456,9,19,6,19,-4,26,75,1,0,0,1.0
457,-39,-71,-18,3,-17,-11,-153,0,0,0,1.0
458,65,65,60,65,45,50,350,1,1,0,1.0
459,-25,0,0,40,70,10,95,1,0,0,0.5
460,-18,13,-56,-7,-11,17,-62,1,0,0,1.0
461,5,-60,30,20,30,10,35,1,1,0,0.5
462,-15,-40,-10,-25,-15,-55,-160,0,0,0,4.0
463,-70,-90,-35,-15,55,0,-155,0,0,0,1.0
464,-5,-5,2,-5,-13,20,-6,1,0,0,2.0
465,25,-11,-11,-88,-54,-16,-155,0,0,0,1.0
466,46,40,74,15,7,78,260,1,1,0,0.5
467,14,13,-55,-27,-55,-5,-115,0,0,0,0.5
468,13,56,-36,11,-51,12,5,1,0,0,1.0
