HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,stats_sum_diff,First_win,First_pokemon_Legendary,Second_pokemon_Legendary
-34,-11,-53,-41,-71,-20,-230,0,0,0
4,-10,-10,5,-20,-29,-60,0,0,0
-35,6,-26,-31,-14,40,-60,1,0,0
-6,14,11,-9,34,-26,18,0,0,0
-20,64,85,30,60,36,255,1,0,0
-110,-55,170,-100,135,-60,-20,0,0,0
-31,-10,-40,-67,-30,-68,-246,0,0,0
-15,-33,81,-28,33,-53,-15,0,0,0
46,40,50,4,50,70,260,0,1,0
-1,78,68,1,1,61,208,1,1,0
2,-40,-33,35,5,27,-4,1,0,0
-30,25,-10,-60,-40,-20,-135,0,0,0
-12,-36,-27,-20,-25,-6,-126,0,0,0
20,5,-37,-35,-37,-16,-100,0,0,0
-21,-95,-10,-13,-20,-38,-197,0,0,0
7,18,-43,-14,25,17,10,1,0,0
-21,-10,-3,3,-12,23,-20,1,0,0
-3,-52,2,-12,72,2,9,1,0,0
-13,29,-15,39,-40,5,5,1,0,0
49,79,30,7,20,7,192,1,0,0
-21,-2,12,-30,-6,27,-20,1,0,0
-32,20,-15,-25,-15,16,-51,1,0,0
7,-27,-31,38,35,53,75,1,0,0
50,100,55,75,30,45,355,1,0,0
-15,-30,5,-5,-30,15,-60,1,0,0
-11,-47,10,11,10,-28,-55,0,0,1
-9,-70,-16,15,-73,-21,-174,0,0,0
-58,-74,152,-99,145,-95,-29,0,0,0
-9,-16,-23,54,19,70,95,1,0,0
-26,-10,16,-86,11,-80,-175,0,0,0
-11,13,-45,13,-45,-7,-82,0,0,0
44,68,23,35,15,10,195,1,1,0
-90,30,34,5,34,10,23,1,0,0
-50,-15,-10,-25,-35,-40,-175,0,0,0
-5,25,-53,3,-50,35,-45,1,1,0
-54,-26,12,-1,12,37,-20,1,0,0
25,45,10,-50,-30,-10,-10,0,0,1
0,-50,-13,-65,-3,-85,-216,0,0,0
0,-17,15,1,-5,-22,-28,0,0,0
20,7,12,48,8,-10,85,0,0,0
-5,-35,-57,-40,-57,-41,-235,0,0,0
-50,-52,-32,-35,-15,-21,-205,0,0,0
8,-21,-67,-5,-50,60,-75,0,0,0
-25,-27,-35,-78,-10,-5,-180,0,0,1
-30,-78,-13,-38,57,-51,-153,0,0,0
105,20,-35,55,-35,45,155,1,1,0
-3,-41,16,24,36,-32,0,0,0,0
-50,20,-40,-20,-90,-5,-185,0,0,0
-16,-50,-10,-18,2,-5,-97,0,0,0
-8,-11,44,56,21,-66,36,0,0,0
8,30,12,33,24,25,132,1,0,0
-65,-35,-15,0,-60,-50,-225,0,0,1
-47,-71,-46,-14,-46,-47,-271,0,0,1
-25,15,25,-30,-55,-45,-115,0,0,1
-31,-45,-36,-12,-36,-31,-191,0,0,0
-10,25,-25,25,-40,15,-10,1,0,0
-5,10,20,57,40,83,205,1,0,0
-20,-23,10,-23,-20,16,-60,1,0,0
-12,-14,8,-14,11,-55,-76,0,0,0
5,-53,5,12,5,55,29,1,0,0
-37,-44,-33,-27,-31,-24,-196,0,0,0
-15,-50,-55,-25,-15,0,-160,0,0,0
50,65,-4,-35,11,70,157,1,0,0
-35,-50,-25,25,-55,40,-100,1,0,0
-30,-45,-10,15,-5,5,-70,1,0,0
-21,12,-17,-35,-10,10,-61,1,0,0
-24,-29,-5,36,33,-1,10,0,1,0
10,-14,-40,11,-35,9,-59,1,0,0
-17,-20,-25,5,-35,2,-90,1,0,0
30,10,30,-10,-5,-50,5,0,0,0
25,65,10,30,40,65,235,1,0,0
21,35,60,95,40,19,270,1,1,0
65,45,-11,5,55,26,185,1,0,0
10,-65,-3,5,-55,-42,-150,0,0,0
5,-43,12,-9,17,-47,-65,0,0,0
14,-5,155,5,15,-130,54,0,0,0
-20,10,0,-60,-20,-30,-120,0,0,0
15,23,-12,20,0,19,65,1,0,0
30,40,75,-15,-50,-70,10,1,0,0
-10,10,15,75,10,60,160,1,0,0
10,20,45,-65,-30,5,-15,1,0,0
-30,30,0,-55,0,11,-44,1,0,0
-56,0,20,-10,15,11,-20,1,0,0
-35,20,-35,-35,-35,-70,-190,0,0,0
-10,-60,20,30,-10,-40,-70,0,0,0
25,10,-15,70,50,20,160,1,0,0
-32,-29,3,10,10,25,-13,1,0,0
6,0,23,3,-5,5,32,1,0,0
3,44,23,60,20,5,155,1,0,0
-25,-20,-10,-10,-20,-70,-155,0,0,0
-15,-7,-63,-57,-73,40,-175,0,0,0
5,45,50,35,45,10,190,1,0,0
-36,-30,-20,-5,-79,-50,-220,0,0,1
25,30,10,15,0,55,135,1,0,0
17,-5,13,8,9,-3,39,0,0,0
12,80,20,-20,-50,-22,20,0,0,0
10,35,72,55,37,31,240,1,0,0
33,-7,25,-17,25,-64,-5,0,0,0
10,74,55,39,10,7,195,1,0,0
-45,0,-20,-28,0,50,-43,0,0,0
-5,-35,-70,-45,-15,-15,-185,0,0,0
-20,15,-14,52,-35,29,27,1,0,0
77,0,72,25,70,47,291,1,0,0
-75,25,-70,-35,-80,-10,-245,0,0,0
-23,-10,-5,-125,-105,-50,-318,0,0,0
-30,22,50,-5,15,25,77,1,0,0
-32,-69,-45,30,15,19,-82,1,0,0
5,20,50,85,0,-35,125,1,0,0
0,-35,-5,-50,-25,-65,-180,0,0,0
3,4,18,44,-5,-2,62,0,0,0
0,-5,-20,10,0,-70,-85,0,0,0
5,43,47,78,77,57,307,1,0,0
-5,40,5,40,-10,10,80,1,0,0
-15,-47,-13,-12,22,-3,-68,0,0,0
-11,-41,35,-119,-35,-84,-255,0,0,1
0,0,20,50,45,5,120,0,0,0
-26,-98,-35,-93,-65,-70,-387,0,0,0
21,4,-30,16,-15,9,5,1,0,0
45,20,-22,55,40,25,163,1,0,0
44,15,30,15,50,-110,44,1,0,0
0,-30,20,20,120,-30,100,0,1,0
-27,3,-23,-34,-29,29,-81,1,0,0
-10,-50,-20,35,-10,-30,-85,0,0,0
20,36,-30,-9,-20,94,91,1,0,0
-10,-40,-61,-42,-38,-20,-211,0,0,0
20,20,36,40,26,0,142,0,1,0
100,36,70,55,70,49,380,1,1,0
30,35,10,-50,10,-75,-40,0,0,0
7,30,13,-45,30,0,35,0,0,0
-35,-110,-30,-110,-30,-45,-360,0,0,1
12,18,-5,26,15,19,85,1,0,0
55,-5,-40,-90,-25,-105,-210,1,0,1
10,34,20,-30,15,-29,20,0,0,1
15,-30,-21,35,9,35,43,1,0,0
15,24,46,91,34,40,250,1,1,0
5,-70,-72,-38,-25,-44,-244,0,0,0
-18,9,-1,-14,51,-86,-59,0,0,0
-70,-50,-40,-45,0,5,-200,1,0,0
5,40,26,10,36,8,125,1,0,0
-38,-68,-28,-25,-30,-46,-235,0,0,0
-15,30,-15,-25,5,-5,-25,0,0,0
-5,19,-5,-8,-35,1,-33,1,0,0
28,19,-1,50,26,23,145,1,0,0
34,80,10,25,40,45,234,1,0,0
35,100,80,-5,-55,-5,150,0,0,0
20,40,-2,-55,-67,-66,-130,1,0,0
32,2,12,-4,-22,-77,-57,0,0,0
-9,6,32,-55,-35,-58,-119,0,0,0
6,-12,18,45,19,19,95,1,0,0
47,99,67,59,44,50,366,1,1,0
-85,-10,-55,-39,-59,10,-238,0,0,1
33,-20,-75,-30,-80,51,-121,1,0,1
-10,20,-5,-60,-40,-70,-165,0,0,0
-7,-30,5,60,55,-35,48,0,0,0
5,-25,5,20,10,50,65,1,1,0
11,-45,-90,45,26,55,2,0,0,0
17,69,12,-16,29,85,196,1,0,0
-38,-56,-35,-23,-12,-54,-218,0,0,1
10,-20,-13,-100,25,-27,-125,0,0,0
11,22,-5,-33,-10,4,-11,1,0,0
30,10,-20,-30,5,-35,-40,0,0,0
-80,-115,25,-35,-20,-70,-295,0,0,1
56,52,60,60,-14,7,221,1,0,0
25,66,35,-9,-15,-11,91,0,0,0
-27,-50,8,-45,20,-57,-151,0,0,0
-10,-50,5,25,15,-10,-25,0,0,0
12,-37,0,43,0,67,85,1,0,0
4,-45,35,-45,35,-4,-20,0,1,0
41,39,36,39,36,43,234,1,0,0
23,8,43,91,39,15,219,1,0,0
-15,-35,-45,-150,-75,-85,-405,0,0,0
36,-39,-13,6,42,-32,0,0,0,0
10,-10,10,55,55,35,155,1,0,0
10,40,45,5,15,25,140,1,0,0
16,55,23,30,-23,-12,89,0,0,0
21,111,65,5,55,40,297,0,0,0
20,15,-49,60,-29,18,35,1,0,0
-35,-35,-35,-50,-25,-75,-255,0,0,1
-20,-75,-57,-15,-32,-23,-222,0,0,0
-15,-32,-13,-4,9,10,-45,1,0,0
40,-13,-25,55,30,48,135,1,0,0
-70,-78,-30,-60,-25,25,-238,0,0,0
-60,12,0,-13,-35,43,-53,1,0,0
-20,-2,85,32,40,7,142,1,0,0
35,35,95,14,44,25,248,1,0,0
-24,51,51,41,44,19,182,1,1,0
-54,-28,-23,-32,-12,-1,-150,0,0,0
33,-45,21,30,86,30,155,1,0,0
5,-3,-25,72,25,5,79,1,0,0
-15,-70,-70,35,-15,0,-135,0,0,1
10,-7,-88,78,-18,75,50,1,0,0
-3,55,9,75,9,15,160,1,1,0
80,33,-7,43,-7,30,172,1,0,0
25,16,-10,2,0,-3,30,0,0,0
4,-44,-5,-7,-25,-73,-150,0,0,1
0,-30,5,0,-45,40,-30,1,0,0
5,35,20,-40,-70,-60,-110,0,0,0
-11,25,77,-34,33,-7,83,0,0,0
60,150,128,100,38,25,501,1,1,0
-22,-13,-25,-25,-21,-14,-120,0,0,0
-10,19,35,24,55,11,134,1,0,0
-28,0,5,80,35,8,100,1,1,0
34,-66,-34,38,36,-42,-34,0,0,0
10,10,-55,15,25,60,65,1,0,0
-25,5,-45,-25,50,30,-10,1,0,0
45,60,23,32,65,45,270,1,0,0
80,10,-80,60,40,40,150,1,1,0
-70,-130,-78,-30,-58,-35,-401,0,0,1
55,10,80,30,100,5,280,1,0,0
10,23,18,-2,18,-21,46,0,0,0
14,0,-20,-5,-30,36,-5,1,0,0
-47,-36,-74,-34,-24,4,-211,1,0,0
4,18,19,5,70,19,135,1,0,0
15,25,50,-5,65,0,150,0,0,0
35,60,40,-5,40,30,200,1,0,0
-154,17,-8,32,2,11,-100,1,0,0
-34,-50,-60,-134,-60,-105,-443,0,0,1
-66,-155,-70,-134,-80,-80,-585,0,0,1
56,52,25,89,25,88,335,1,0,0
40,0,35,60,20,-70,85,1,0,0
-37,-45,-11,15,-11,-45,-134,0,0,0
-33,-33,-18,-20,-38,15,-127,1,0,0
1,6,33,-51,-21,-69,-101,0,0,0
9,-30,-15,10,15,11,0,1,1,0
10,-25,42,-85,-5,-67,-130,0,0,0
-5,-20,-20,10,-10,0,-45,0,0,1
40,65,28,0,65,-8,190,0,0,0
35,15,15,35,45,35,180,1,0,0
10,5,-27,-55,-22,-46,-135,0,0,0
-30,-45,47,-45,-23,16,-80,1,0,1
-18,71,69,-7,-37,1,79,1,0,0
-10,-24,-17,-69,-30,-59,-209,0,0,0
44,22,69,3,43,14,195,1,1,0
30,-15,-10,-40,-35,-90,-160,0,0,1
-52,-25,-25,25,15,10,-52,1,0,0
55,119,115,75,90,51,505,1,0,0
37,45,15,-2,10,0,105,0,0,0
-15,10,-10,-55,-10,-20,-100,0,0,1
12,5,14,-5,-16,-45,-35,0,0,0
27,40,50,70,98,9,294,1,0,0
18,37,18,-28,13,-32,26,0,0,0
-20,0,-35,25,15,10,-5,1,0,0
61,100,15,119,55,110,460,1,1,0
-30,-10,50,-10,-90,0,-90,0,0,0
15,-25,40,-20,-5,-30,-25,0,0,0
10,85,180,-70,35,0,240,0,0,0
20,15,0,-115,-40,-40,-160,0,0,0
2,-33,5,-13,50,-18,-7,0,0,0
-35,-47,-15,60,35,-2,-4,0,0,0
-45,25,20,-40,-50,-40,-130,0,0,0
-70,-90,-20,12,-5,-28,-201,0,0,0
40,23,-105,0,-105,-35,-182,0,0,1
23,30,12,-43,29,-41,10,0,0,0
26,15,5,62,12,41,161,1,0,0
6,-10,-35,-43,-38,-44,-164,0,0,0
65,11,13,41,21,-3,148,0,0,0
35,32,40,60,62,18,247,1,0,0
-12,-15,35,-28,-7,5,-22,1,0,0
56,27,-70,99,45,38,195,1,0,0
15,-10,47,-87,-10,-91,-136,0,0,0
0,14,35,-11,25,-34,29,0,0,0
-80,10,10,10,-5,120,65,1,1,0
15,7,9,34,20,44,129,1,0,0
30,35,-37,-45,-37,9,-45,1,0,0
15,70,60,25,15,25,210,1,0,0
27,84,32,9,39,110,301,1,0,0
-28,-125,1,10,-39,-120,-301,0,0,0
5,-25,5,15,40,10,50,1,0,0
-63,23,13,-19,-7,42,-11,1,0,0
36,7,32,29,67,10,181,1,0,0
15,30,25,10,20,-90,10,1,0,0
-42,-25,-25,1,-41,-13,-145,0,0,0
30,165,55,87,45,106,488,1,1,0
-6,-15,-5,-51,-32,-21,-130,0,0,0
11,34,11,39,6,-7,94,0,0,0
40,42,30,25,30,12,179,1,0,0
0,4,-10,-63,-10,-57,-136,0,0,0
-32,-69,-60,-99,-80,-60,-400,0,0,1
0,0,27,-25,27,-14,15,0,0,0
15,-5,25,60,30,-15,110,0,1,0
4,30,-5,28,-2,-11,44,0,0,0
10,11,-5,-54,-25,-2,-65,0,0,0
6,54,-28,14,-36,45,55,1,0,0
35,95,80,60,20,70,360,1,0,0
39,70,93,5,28,-21,214,0,0,0
35,35,10,105,30,85,300,1,0,0
5,30,14,-26,-2,13,34,1,0,0
48,-21,9,1,29,-43,23,0,0,0
-15,30,51,50,46,-20,142,0,0,0
-45,-43,-35,-23,-45,-12,-203,0,0,0
-7,31,40,68,27,79,238,1,1,0
32,65,12,-42,-94,5,-22,1,0,0
5,5,12,-17,-21,-4,-20,0,0,0
-15,-45,0,-40,-35,60,-75,0,0,1
-40,53,43,53,38,81,228,1,0,0
-25,-15,-11,-12,-20,14,-69,1,0,0
0,-15,5,34,9,-5,28,0,0,0
-14,15,-10,45,10,34,80,1,0,0
10,-68,-5,-38,5,-40,-136,0,0,0
22,33,30,-6,-15,-44,20,0,0,0
66,71,35,71,38,39,320,1,1,0
4,-17,-3,47,15,-18,28,0,0,0
-19,-97,-82,-63,-28,-86,-375,0,0,0
-26,-95,-18,-94,-18,-55,-306,0,0,1
-15,3,-105,51,33,42,9,1,0,0
55,30,55,35,35,-25,185,0,0,0
22,-2,25,31,35,25,136,1,0,0
-10,34,45,29,10,-63,45,0,0,0
30,-55,-40,0,0,-5,-70,0,0,0
-15,25,35,-45,-5,-60,-65,0,0,0
-12,-23,-25,-52,-25,-32,-169,0,0,0
41,-34,0,52,30,-7,82,0,0,0
-26,-57,-32,-60,-50,-70,-295,0,0,0
-54,-20,-37,-88,-88,-40,-327,0,0,0
5,-4,5,-4,-20,-1,-19,0,0,0
-48,-25,68,-22,49,27,49,1,1,0
17,-18,-61,7,64,76,85,1,1,0
-5,29,5,39,-5,2,65,1,0,0
35,5,68,10,-35,-43,40,0,0,0
35,10,0,-50,35,50,80,1,0,0
43,56,-25,56,10,20,160,1,0,0
9,3,20,-25,0,-2,5,0,0,0
10,-26,30,14,40,-54,14,0,0,0
-30,-50,0,10,20,0,-50,0,0,0
14,44,14,34,64,-5,165,0,1,0
5,-50,0,-15,-25,-25,-110,0,0,0
-70,-76,-80,-36,-36,10,-288,1,0,0
-25,-20,-100,0,-30,-40,-215,0,0,0
-24,10,-27,2,-18,22,-35,1,0,0
-15,-10,-116,-30,-106,-35,-312,0,0,1
-19,-37,2,-50,-18,-63,-185,0,0,0
0,-71,-49,21,-51,-40,-190,0,0,0
-32,-22,-42,-35,-40,-34,-205,0,0,0
62,139,120,100,25,25,471,1,1,0
-70,-120,-80,-65,-80,-40,-455,0,0,0
-45,-52,-5,-97,-68,-2,-269,0,0,0
20,-10,0,40,35,0,85,0,1,0
-60,-20,0,-70,-40,-35,-225,0,0,1
-1,13,-11,36,54,7,98,1,0,0
-10,5,-10,4,10,-13,-14,0,0,0
-15,-10,-15,50,25,5,40,1,0,0
-75,-55,-26,-126,-52,-52,-386,0,0,1
-50,5,-5,50,40,20,60,1,0,0
3,20,18,-30,18,2,31,1,0,0
10,-3,-22,45,45,5,80,1,0,0
25,32,15,70,5,14,161,1,0,0
-40,-75,-90,-10,-20,35,-200,1,0,1
15,20,30,-20,-20,-65,-40,0,0,0
-26,-22,-36,-49,4,-48,-177,0,0,0
10,15,15,-10,10,-10,30,0,0,0
-16,53,-20,-4,-20,7,0,1,1,0
-5,-5,-25,-95,-30,85,-75,1,0,0
36,-20,10,27,15,-66,2,0,0,0
24,50,106,5,-5,-20,160,0,0,0
34,28,33,-53,27,21,90,1,0,0
9,17,13,-44,-1,-71,-77,1,0,0
12,-15,-62,46,2,-43,-60,0,0,0
-5,35,25,-30,-10,-30,-15,0,0,0
24,9,35,14,45,-8,119,0,0,0
1,35,0,-40,-10,35,21,1,0,0
15,65,92,18,-5,44,229,1,0,0
-40,-45,-55,40,0,25,-75,0,0,0
-11,-13,12,49,49,29,115,1,0,0
0,-79,-53,-10,-3,53,-92,0,0,0
11,2,25,49,-30,8,65,1,0,0
37,75,62,-57,-99,-35,-17,1,0,0
-46,-64,-12,11,16,-30,-125,0,0,0
-30,-65,-50,-61,-27,-62,-295,0,0,0
-45,-100,-100,-60,-50,-15,-370,0,0,1
40,-40,10,-100,-50,-60,-200,0,0,1
-39,60,15,-10,-20,10,16,1,0,0
-65,-87,-142,-14,-4,42,-270,0,0,0
45,-7,-6,-10,7,-42,-13,0,0,0
6,-16,0,36,25,94,145,1,0,0
-3,65,-30,-57,-48,-27,-100,0,0,0
-7,-18,30,9,33,-49,-2,1,0,0
60,90,30,0,30,35,245,1,0,0
66,85,50,75,119,34,429,1,1,0
-11,-31,-46,29,44,14,-1,1,0,0
0,1,-21,19,31,20,50,1,0,0
-25,-12,-27,13,-27,41,-37,1,0,0
-50,-25,-30,-65,-30,-52,-252,0,0,1
-46,29,-47,-50,-35,18,-131,1,0,0
-35,-21,9,-35,5,-100,-177,0,0,0
45,65,10,-45,-20,-70,-15,1,0,0
-15,-7,4,-60,-5,-74,-157,0,0,0
5,30,-5,30,-20,10,50,1,0,0
-24,-35,-50,-70,0,-26,-205,0,0,1
35,60,70,35,30,65,295,1,0,0
-35,-90,-29,100,-35,49,-40,1,0,0
30,-8,2,-5,0,-24,-5,0,0,0
25,10,21,85,51,35,227,1,0,0
20,30,-45,-5,-15,0,-15,0,0,0
-52,5,-45,-50,-45,5,-182,1,0,0
-4,-16,-30,-4,-15,34,-35,0,0,0
-50,-32,-134,11,4,37,-164,1,0,0
11,-3,17,-6,67,15,101,1,0,0
-15,-35,15,-90,-45,-75,-245,0,0,0
-25,0,70,10,15,-63,7,0,0,0
33,32,22,9,4,81,181,1,0,0
-15,-35,-65,60,30,10,-15,1,0,0
-20,-68,20,-18,-50,-46,-182,0,0,0
10,-40,20,-25,20,10,-5,1,0,0
3,32,-1,-24,8,11,29,1,0,0
15,5,-45,60,30,5,70,1,0,0
26,9,80,31,95,4,245,1,1,0
15,-10,10,50,30,5,100,1,1,0
-25,-15,-5,10,-35,60,-10,1,0,0
29,76,25,60,15,55,260,1,0,0
183,-52,-50,-42,50,-64,25,0,0,0
25,10,40,40,40,35,190,1,1,0
-25,25,5,35,5,26,71,1,0,0
-39,-45,-50,-80,-60,-36,-310,0,0,1
9,19,6,19,-4,26,75,1,0,0
-39,-71,-18,3,-17,-11,-153,0,0,0
65,65,60,65,45,50,350,1,1,0
-25,0,0,40,70,10,95,1,0,0
-18,13,-56,-7,-11,17,-62,1,0,0
5,-60,30,20,30,10,35,1,1,0
-15,-40,-10,-25,-15,-55,-160,0,0,0
-70,-90,-35,-15,55,0,-155,0,0,0
-5,-5,2,-5,-13,20,-6,1,0,0
25,-11,-11,-88,-54,-16,-155,0,0,0
46,40,74,15,7,78,260,1,1,0
14,13,-55,-27,-55,-5,-115,0,0,0
13,56,-36,11,-51,12,5,1,0,0
-76,-52,33,-12,0,-68,-175,0,0,0
10,13,10,28,35,20,116,1,0,0
-75,10,-35,-70,-80,5,-245,1,0,0
-60,-55,-60,-70,-80,-25,-350,0,0,1
60,-5,5,15,55,50,180,1,0,0
-11,3,18,-15,-2,-2,-9,0,0,0
0,3,-8,-9,-9,3,-20,1,0,0
26,33,27,15,20,-25,96,0,0,0
15,25,-15,45,-15,15,70,1,1,0
-29,-28,-3,-35,-5,-15,-115,0,0,0
-15,-15,-30,-37,-63,-14,-174,0,0,0
39,37,39,46,36,15,212,1,0,0
10,-36,-15,0,-5,-49,-95,0,0,0
36,22,65,45,17,77,262,1,1,0
-51,-11,-42,-36,-52,-18,-210,0,0,0
32,26,27,45,25,20,175,1,1,0
34,-21,-15,17,28,11,54,1,0,0
-45,-54,10,-25,-40,-52,-206,0,0,0
10,110,25,55,15,0,215,0,0,0
2,20,17,103,78,48,268,1,0,0
10,95,50,25,70,68,318,1,0,0
-18,-15,-20,-5,15,-11,-54,0,0,0
0,30,116,41,-3,27,211,1,0,0
-45,-35,-55,-65,-55,30,-225,1,0,0
15,35,15,20,10,10,105,1,0,0
0,5,10,-30,25,20,30,1,0,0
45,85,3,15,3,9,160,1,0,0
20,30,20,0,0,45,115,1,0,0
-32,-60,-31,-60,-50,-42,-275,0,0,0
40,25,-65,65,-60,5,10,1,0,0
10,-20,20,20,25,15,70,1,1,0
0,-25,-61,0,2,14,-70,0,0,0
-16,20,100,-65,-31,-60,-52,0,0,0
65,50,19,45,105,31,315,1,0,0
50,96,-5,66,25,63,295,1,1,0
27,95,10,-25,0,-27,80,0,0,0
-25,-78,-23,-78,-23,-81,-308,0,0,0
190,-55,-55,25,85,-35,155,0,0,0
14,56,5,50,15,55,195,1,1,0
-25,-45,-30,-5,-30,15,-120,1,0,0
21,140,75,5,65,44,350,1,0,0
-78,-90,-25,-10,-60,-42,-305,0,0,0
35,-10,5,10,10,-25,25,0,0,0
-40,-45,-45,-25,-40,-20,-215,0,0,0
20,45,45,-45,-55,-70,-60,1,0,0
25,20,136,11,17,-13,196,0,0,0
-13,20,-5,0,-20,-7,-25,0,0,0
-24,-33,-40,-115,-65,37,-240,1,0,0
22,40,18,25,15,15,135,1,0,0
30,28,-5,43,10,-21,85,0,0,0
18,90,20,0,50,60,238,0,0,0
15,-15,-5,65,15,65,140,1,0,0
-5,25,-20,-10,-20,-20,-50,0,0,0
21,-15,20,25,60,-21,90,0,1,1
-30,15,10,15,10,100,120,1,1,0
55,95,25,70,10,45,300,1,0,0
-55,-90,-108,-50,-58,-14,-375,0,0,1
-14,-58,-24,21,-44,34,-85,1,0,0
-72,-125,-95,-75,-65,-50,-482,0,0,1
2,20,25,20,75,-2,140,0,0,0
70,88,35,-20,-5,-40,128,1,0,0
85,40,50,15,45,50,285,0,1,0
10,-5,15,-10,10,-30,-10,0,0,0
-32,6,-11,-44,-29,-69,-179,0,0,0
-5,35,5,60,20,20,135,1,0,0
50,15,35,40,10,-65,85,0,0,0
-55,-60,-40,-60,-25,-50,-290,0,0,1
-15,-75,-75,-110,-40,-50,-365,0,0,1
11,18,-57,45,-61,19,-25,1,0,0
19,-4,15,10,10,10,60,1,0,0
0,0,20,-35,-15,-15,-45,0,0,0
26,42,26,29,-14,43,152,1,0,0
5,35,50,20,0,-25,85,0,0,0
85,35,40,30,30,-10,210,0,0,0
3,40,57,-28,61,-14,119,0,0,0
20,-2,0,95,45,47,205,1,0,0
9,24,10,-5,10,-40,8,0,0,0
-37,-60,-25,-90,-45,-13,-270,0,0,1
38,29,68,31,22,-13,175,0,0,0
-45,-20,22,40,42,51,90,1,0,0
18,58,68,45,48,5,242,1,0,0
35,40,30,-20,10,0,95,0,0,0
-65,-41,15,-111,-15,-59,-276,0,0,1
-18,-45,-62,-70,-36,-40,-271,0,0,0
-50,-35,-30,-75,-20,0,-210,0,0,0
-10,-27,5,-37,-35,-25,-129,0,0,0
-55,27,12,-16,-6,-17,-55,1,0,0
-15,10,5,-65,-35,-30,-130,0,0,0
-6,-15,2,-2,13,-2,-10,0,0,0
-25,-74,-131,-1,7,12,-212,1,0,0
80,124,135,60,85,11,495,1,0,0
65,25,-20,25,-15,0,80,0,0,0
-32,-45,-21,15,-32,-30,-145,0,0,0
20,10,5,35,-10,25,85,1,0,0
-5,-5,95,-35,95,20,165,1,0,0
-10,-21,-10,-5,0,-84,-130,0,0,0
-8,-57,5,-40,25,-13,-88,0,0,0
-41,-10,-5,-42,8,-1,-91,0,0,0
-5,25,5,-5,-5,45,60,1,0,0
27,-13,-75,17,-75,89,-30,1,0,0
-10,-13,-1,-1,31,69,75,1,0,0
-60,-50,-45,-105,-45,-85,-390,0,0,1
5,5,5,80,20,39,154,0,0,0
30,24,30,25,30,21,160,1,0,0
10,-10,5,-95,45,-80,-125,0,0,0
4,13,35,30,44,-7,119,0,0,0
-40,-130,-90,-70,-10,50,-290,0,0,1
-40,-21,-19,20,-10,-15,-85,0,0,0
5,20,-25,30,-45,0,-15,0,0,0
-15,-25,-24,26,1,7,-30,1,0,0
-48,-57,-77,-4,-30,6,-210,1,0,0
10,25,10,55,0,-5,95,0,0,0
-10,-30,5,5,15,-17,-32,0,0,0
20,-20,15,30,85,60,190,1,1,0
-10,-34,30,45,-25,24,30,1,0,0
1,-43,-78,-18,-10,37,-111,1,0,0
85,80,55,75,35,5,335,1,0,0
-20,-56,-15,-21,-5,-89,-206,0,0,0
54,60,30,35,20,51,250,1,0,0
-29,4,42,-46,-18,-33,-80,0,0,0
200,-35,-35,50,110,40,330,0,0,0
-8,35,34,-5,65,34,155,1,0,0
